"('face', 0.9800640344619751, (638.0709228515625, 286.6827697753906, 91.96249389648438, 101.9210433959961))","('map', 0.9555890560150146, (1214.1771240234375, 233.0265655517578, 110.6169204711914, 186.40042114257812))","('dice', 0.8628890514373779, (620.66552734375, 97.10186004638672, 66.08464813232422, 108.47451782226562))","('key', 0.28971508145332336, (904.7071533203125, 129.55389404296875, 120.55084991455078, 66.54429626464844))","('ball', 0.28527215123176575, (354.7247009277344, 600.3585205078125, 94.78907775878906, 97.55098724365234))"
"('face', 0.9857369661331177, (637.792724609375, 288.1560363769531, 92.0860595703125, 101.43077850341797))","('map', 0.9617519974708557, (1213.717529296875, 233.35614013671875, 111.41987609863281, 185.85513305664062))","('dice', 0.8736052513122559, (620.2657470703125, 97.69158935546875, 66.34329223632812, 108.22322845458984))","('key', 0.3391663134098053, (904.3222045898438, 129.84632873535156, 121.73387145996094, 66.41445922851562))","('ball', 0.29330459237098694, (353.9405517578125, 600.3378295898438, 93.54762268066406, 97.39928436279297))"
"('face', 0.9872210621833801, (637.7258911132812, 287.8590393066406, 91.59278106689453, 100.37153625488281))","('map', 0.9645934104919434, (1213.77734375, 232.92495727539062, 108.99839782714844, 188.68975830078125))","('dice', 0.8628899455070496, (619.3030395507812, 97.93228912353516, 66.2785415649414, 110.16929626464844))","('ball', 0.30312928557395935, (353.6705017089844, 600.6878051757812, 94.4771728515625, 97.92681884765625))","('key', 0.29177412390708923, (904.7693481445312, 129.6363067626953, 122.25508880615234, 66.54429626464844))"
"('face', 0.9881623983383179, (637.4859008789062, 288.2180480957031, 91.5145492553711, 101.06001281738281))","('map', 0.9671304225921631, (1213.2630615234375, 233.02330017089844, 110.81627655029297, 190.72763061523438))","('dice', 0.8803454637527466, (619.0654907226562, 98.23018646240234, 65.31473541259766, 109.03209686279297))","('key', 0.3392990529537201, (904.7948608398438, 129.78536987304688, 122.26255798339844, 66.641845703125))","('ball', 0.3267184793949127, (353.2455139160156, 600.7282104492188, 93.55903625488281, 98.2920913696289))"
"('face', 0.9896767139434814, (637.287841796875, 288.24578857421875, 92.46903991699219, 101.5856704711914))","('map', 0.9699922800064087, (1213.73388671875, 232.85792541503906, 110.35224914550781, 189.70594787597656))","('dice', 0.8835957646369934, (618.74462890625, 98.22600555419922, 64.49078369140625, 108.95226287841797))","('key', 0.3324368894100189, (904.8656616210938, 129.7212371826172, 123.1312484741211, 66.34962463378906))","('ball', 0.2982105612754822, (353.4347839355469, 600.6907348632812, 94.7543716430664, 98.22611999511719))"
"('face', 0.9900054931640625, (637.5908813476562, 288.0486145019531, 91.246826171875, 100.62916564941406))","('map', 0.9713373780250549, (1213.5484619140625, 233.55665588378906, 109.7042007446289, 191.19384765625))","('dice', 0.8943778276443481, (618.9125366210938, 98.3005142211914, 65.06010437011719, 108.50100708007812))","('ball', 0.3031305968761444, (353.29425048828125, 600.6473388671875, 93.16016387939453, 98.52633666992188))","('key', 0.27825963497161865, (904.93359375, 129.55389404296875, 122.86849212646484, 65.4167251586914))"
"('face', 0.9888739585876465, (637.1124877929688, 287.9577331542969, 91.57041931152344, 101.34415435791016))","('map', 0.9645934104919434, (1213.8316650390625, 233.1350555419922, 110.10163879394531, 188.78192138671875))","('dice', 0.8819766044616699, (618.5557250976562, 97.73118591308594, 65.12366485595703, 108.84591674804688))","('key', 0.3217708170413971, (906.43994140625, 129.2375030517578, 105.83411407470703, 48.96416091918945))","('ball', 0.3164975643157959, (353.39239501953125, 600.965087890625, 94.5233154296875, 98.5594253540039))"
"('face', 0.9888918399810791, (636.9210205078125, 287.364013671875, 92.45774841308594, 100.26131439208984))","('map', 0.9738010764122009, (1214.2200927734375, 232.35511779785156, 109.7042007446289, 195.2506103515625))","('dice', 0.8770121335983276, (618.526123046875, 97.80023193359375, 65.12366485595703, 107.57782745361328))","('key', 0.3893736004829407, (906.3207397460938, 128.7107391357422, 105.93751525878906, 49.450706481933594))","('ball', 0.2868850827217102, (353.852294921875, 600.8798828125, 93.65044403076172, 99.09928894042969))"
"('face', 0.9892147183418274, (636.43798828125, 287.1820373535156, 92.94434356689453, 101.43698120117188))","('map', 0.9749487042427063, (1213.5594482421875, 232.1131134033203, 110.33036041259766, 197.1667022705078))","('dice', 0.8928893804550171, (618.4404296875, 97.21105194091797, 65.06010437011719, 108.35541534423828))","('key', 0.401930570602417, (905.589599609375, 128.32492065429688, 104.29511260986328, 49.13780212402344))","('ball', 0.2932949662208557, (353.7356262207031, 600.794189453125, 93.25118255615234, 99.25061798095703))"
"('face', 0.9887263774871826, (636.0164794921875, 287.2530822753906, 91.11326599121094, 101.72837829589844))","('map', 0.9650915265083313, (1213.52099609375, 230.93414306640625, 113.6920166015625, 189.89129638671875))","('dice', 0.8987026214599609, (618.0001220703125, 96.8519287109375, 63.12002182006836, 107.17150115966797))","('key', 0.4349055886268616, (905.1862182617188, 128.2305908203125, 105.08744049072266, 49.85072326660156))","('ball', 0.3181384205818176, (352.5398254394531, 600.658935546875, 92.68375396728516, 100.29804229736328))"
