"('face', 0.9821990728378296, (341.77008056640625, 321.5991516113281, 85.6661605834961, 96.96035766601562))","('map', 0.9623557925224304, (1208.6302490234375, 232.64114379882812, 136.24276733398438, 216.98162841796875))","('dice', 0.9447328448295593, (602.0126953125, 98.41254425048828, 64.20800018310547, 113.07137298583984))","('ball', 0.6141061782836914, (262.84942626953125, 594.158447265625, 95.847900390625, 78.77290344238281))","('key', 0.3726091980934143, (897.3380126953125, 130.6388702392578, 122.09103393554688, 70.85333251953125))"
"('face', 0.9832630753517151, (341.64727783203125, 321.65521240234375, 84.70947265625, 96.68850708007812))","('map', 0.9620689153671265, (1209.05419921875, 234.3895263671875, 134.78704833984375, 215.66131591796875))","('dice', 0.9463420510292053, (601.6773071289062, 98.34819030761719, 65.21913146972656, 113.84696960449219))","('ball', 0.6214854717254639, (262.5918273925781, 594.9630737304688, 96.03529357910156, 78.3318099975586))","('key', 0.29070815443992615, (896.7501220703125, 130.88046264648438, 120.99312591552734, 70.02786254882812))"
"('face', 0.9845023155212402, (341.6580810546875, 322.4153747558594, 86.2958984375, 96.945556640625))","('map', 0.9611395597457886, (1208.9188232421875, 235.56167602539062, 136.30929565429688, 214.6632537841797))","('dice', 0.9439228177070618, (601.877685546875, 99.1105728149414, 65.69856262207031, 113.07137298583984))","('ball', 0.6432738900184631, (262.8710021972656, 595.1434936523438, 97.28600311279297, 78.39877319335938))","('key', 0.3363387882709503, (897.7830810546875, 131.76937866210938, 123.21395111083984, 69.84005737304688))"
"('face', 0.9801919460296631, (341.50811767578125, 322.35943603515625, 86.27483367919922, 96.4350814819336))","('map', 0.9617594480514526, (1208.3055419921875, 236.4380340576172, 137.8487548828125, 212.162353515625))","('dice', 0.9331057071685791, (602.004150390625, 99.69453430175781, 63.89524841308594, 113.2509536743164))","('ball', 0.6396817564964294, (263.10357666015625, 595.4605102539062, 96.56427001953125, 78.78251647949219))","('key', 0.37891685962677, (897.7830810546875, 132.0285186767578, 124.32441711425781, 69.65274810791016))"
"('face', 0.9852041006088257, (341.72259521484375, 322.2314453125, 86.9090576171875, 94.86903381347656))","('map', 0.966753363609314, (1208.726318359375, 235.77757263183594, 136.90963745117188, 213.66981506347656))","('dice', 0.9340766072273254, (602.0465698242188, 99.81437683105469, 64.55379486083984, 113.37544250488281))","('ball', 0.6609959006309509, (261.96710205078125, 595.3718872070312, 95.96497344970703, 79.51681518554688))","('key', 0.3583848476409912, (898.0013427734375, 132.51641845703125, 125.00160217285156, 69.12757873535156))"
"('face', 0.9842639565467834, (341.6253662109375, 322.0586853027344, 86.82421875, 95.00086212158203))","('map', 0.9747297167778015, (1209.17041015625, 236.67318725585938, 136.17625427246094, 215.18795776367188))","('dice', 0.9422394037246704, (602.0975952148438, 99.9932861328125, 65.73065185546875, 112.5755615234375))","('ball', 0.6504147052764893, (263.0060119628906, 595.7123413085938, 96.47002410888672, 79.16813659667969))","('key', 0.39259102940559387, (898.0013427734375, 132.41087341308594, 125.16192626953125, 68.67340850830078))"
"('face', 0.9835226535797119, (341.7596130371094, 322.2627258300781, 87.01521301269531, 95.13721466064453))","('map', 0.9697303771972656, (1210.1712646484375, 238.90768432617188, 137.11032104492188, 213.7219696044922))","('dice', 0.9321408271789551, (602.3984375, 100.81785583496094, 65.37855529785156, 111.75404357910156))","('ball', 0.6539580821990967, (262.1563720703125, 596.0144653320312, 95.55583953857422, 78.66719818115234))","('key', 0.334203839302063, (898.4191284179688, 132.51187133789062, 124.49906158447266, 69.41508483886719))"
"('face', 0.9849754571914673, (341.86285400390625, 322.81524658203125, 87.20661163330078, 95.44401550292969))","('map', 0.9726730585098267, (1210.0919189453125, 237.89990234375, 136.0433349609375, 214.45372009277344))","('dice', 0.936915934085846, (602.1829833984375, 100.7430191040039, 65.21913146972656, 111.1554183959961))","('ball', 0.657483696937561, (261.7738037109375, 596.0574951171875, 95.2530517578125, 79.33259582519531))","('key', 0.28260478377342224, (898.1513061523438, 132.85995483398438, 124.24098205566406, 69.06010437011719))"
"('face', 0.9840199947357178, (341.908203125, 322.969970703125, 87.07896423339844, 93.27539825439453))","('map', 0.9629299640655518, (1209.8353271484375, 237.08474731445312, 134.78704833984375, 213.51336669921875))","('dice', 0.9404937624931335, (602.0635375976562, 100.80850982666016, 64.45930480957031, 112.32847595214844))","('ball', 0.6324460506439209, (261.38079833984375, 596.1160888671875, 94.90485382080078, 80.14046478271484))","('key', 0.3534835875034332, (898.6181030273438, 133.0834503173828, 124.51426696777344, 69.09384155273438))"
"('face', 0.9786191582679749, (341.5644836425781, 323.2786560058594, 86.88783264160156, 94.48980712890625))","('map', 0.961671769618988, (1210.5894775390625, 236.9649200439453, 134.5240478515625, 212.42149353027344))","('dice', 0.9349933862686157, (601.6856689453125, 101.0439453125, 65.44242858886719, 111.80863189697266))","('ball', 0.6850540637969971, (260.62139892578125, 596.7562255859375, 93.78772735595703, 81.53177642822266))"
"('face', 0.9804929494857788, (341.2909240722656, 323.8711242675781, 86.16958618164062, 94.97476959228516))","('map', 0.9722742438316345, (1208.726318359375, 236.66244506835938, 135.64535522460938, 214.50608825683594))","('dice', 0.9377169609069824, (601.5452880859375, 101.30418395996094, 64.33352661132812, 112.35591125488281))","('ball', 0.6850553154945374, (260.4177551269531, 596.9550170898438, 92.15351867675781, 81.15445709228516))","('key', 0.26540443301200867, (898.133544921875, 142.19076538085938, 123.42469787597656, 66.75582885742188))"
