"('map', 0.9840118885040283, (1205.4237060546875, 245.36410522460938, 152.4357147216797, 217.99049377441406))","('face', 0.9821286797523499, (550.0648193359375, 323.1863098144531, 84.91653442382812, 110.43859100341797))","('dice', 0.8182641863822937, (602.1060791015625, 102.59666442871094, 63.150848388671875, 106.3894271850586))","('face', 0.6360161304473877, (1173.4080810546875, 491.9315490722656, 67.8834228515625, 138.6563720703125))","('key', 0.5924359560012817, (891.4907836914062, 141.69232177734375, 122.71111297607422, 68.2721939086914))","('ball', 0.4214712381362915, (316.4499206542969, 597.2529296875, 94.55794525146484, 88.38045501708984))"
"('map', 0.984250545501709, (1204.5859375, 245.63629150390625, 152.58465576171875, 218.57669067382812))","('face', 0.9813088774681091, (549.5673217773438, 322.6377868652344, 84.73015594482422, 110.22310638427734))","('dice', 0.8108580112457275, (602.1744384765625, 102.613525390625, 62.99686050415039, 106.55838012695312))","('face', 0.6467830538749695, (1173.4412841796875, 491.375244140625, 67.68484497070312, 136.04092407226562))","('key', 0.6449647545814514, (892.2081298828125, 141.8779296875, 123.50759887695312, 68.05585479736328))","('ball', 0.4044158458709717, (316.1152038574219, 597.2645874023438, 94.5694808959961, 88.22954559326172))"
"('map', 0.9838834404945374, (1205.0721435546875, 246.43338012695312, 152.21258544921875, 218.47000122070312))","('face', 0.9807154536247253, (549.4823608398438, 322.4091491699219, 85.5825424194336, 110.80319213867188))","('dice', 0.7981886863708496, (602.3119506835938, 102.5233383178711, 63.95767593383789, 106.23369598388672))","('face', 0.6883547306060791, (1173.1259765625, 491.9071350097656, 68.58307647705078, 138.75796508789062))","('key', 0.5663949251174927, (892.1051635742188, 142.2446746826172, 124.41551208496094, 68.38897705078125))","('ball', 0.3894580602645874, (316.29119873046875, 597.1698608398438, 94.63877868652344, 88.3939437866211))"
"('map', 0.9860886931419373, (1205.6007080078125, 246.43673706054688, 151.76730346679688, 218.41665649414062))","('face', 0.9791997075080872, (549.6529541015625, 321.140380859375, 84.85436248779297, 111.18256378173828))","('dice', 0.7961602807044983, (602.1915283203125, 102.613525390625, 62.47610092163086, 106.2207260131836))","('face', 0.6538811922073364, (1173.381591796875, 491.3081359863281, 67.28941345214844, 133.3445281982422))","('key', 0.5531632900238037, (891.7858276367188, 141.86915588378906, 123.53775024414062, 67.4603271484375))","('ball', 0.3931775689125061, (316.0829772949219, 597.330810546875, 95.36940002441406, 88.78324127197266))"
"('map', 0.9842484593391418, (1205.6185302734375, 245.29783630371094, 151.69322204589844, 219.1644744873047))","('face', 0.9768629670143127, (550.1339111328125, 319.85736083984375, 85.68707275390625, 112.36962127685547))","('dice', 0.7939978241920471, (602.21728515625, 102.635986328125, 62.35419845581055, 106.45437622070312))","('face', 0.6396093964576721, (1173.4412841796875, 491.69976806640625, 68.58307647705078, 133.96450805664062))","('key', 0.5601989030838013, (891.6604614257812, 141.90139770507812, 121.74130249023438, 67.44386291503906))","('ball', 0.3530074954032898, (316.6871032714844, 597.4351196289062, 95.46257019042969, 88.82660675048828))"
"('map', 0.9809255003929138, (1205.51220703125, 245.8858184814453, 151.3233184814453, 221.26121520996094))","('face', 0.9795166254043579, (549.8805541992188, 319.0441589355469, 85.64524841308594, 112.04090118408203))","('dice', 0.8138396739959717, (602.2601928710938, 102.81433868408203, 62.35419845581055, 106.76671600341797))","('face', 0.6250872015953064, (1173.0849609375, 491.975341796875, 67.9829330444336, 136.00772094726562))","('key', 0.5998188853263855, (891.7858276367188, 141.5933380126953, 121.80076599121094, 68.4390869140625))","('ball', 0.3601802587509155, (316.7181091308594, 597.2694702148438, 95.05558013916016, 89.22870635986328))"
"('map', 0.9816303253173828, (1205.0721435546875, 245.3144073486328, 150.73336791992188, 220.3448028564453))","('face', 0.9778906106948853, (550.126953125, 320.4392395019531, 87.2279052734375, 112.8645248413086))","('dice', 0.8015304803848267, (602.1658935546875, 102.57133483886719, 62.873939514160156, 106.32450103759766))","('face', 0.6396170258522034, (1173.1734619140625, 491.66473388671875, 67.7178955078125, 135.6429443359375))","('key', 0.531579852104187, (892.0643310546875, 141.84878540039062, 122.33719635009766, 68.13898468017578))","('ball', 0.36199134588241577, (316.6974182128906, 597.5556030273438, 95.24142456054688, 89.86544036865234))"
"('map', 0.9819214344024658, (1205.8680419921875, 245.6163330078125, 151.98977661132812, 220.45240783691406))","('face', 0.9624588489532471, (550.189453125, 321.8275451660156, 85.14488983154297, 113.48621368408203))","('dice', 0.8042119145393372, (602.5465087890625, 102.9273681640625, 62.90464401245117, 106.4413833618164))","('face', 0.6360024809837341, (1173.0369873046875, 491.34429931640625, 66.9616470336914, 133.40965270996094))","('key', 0.6079347133636475, (892.46142578125, 141.77687072753906, 123.41716766357422, 68.7405014038086))","('ball', 0.41008323431015015, (316.1298522949219, 597.4185791015625, 94.73123168945312, 89.09265899658203))"
"('map', 0.9807565808296204, (1205.5653076171875, 245.34092712402344, 152.13827514648438, 219.64657592773438))","('face', 0.9181051850318909, (551.3990478515625, 322.4153747558594, 83.57962036132812, 118.03579711914062))","('dice', 0.7725622057914734, (602.59033203125, 102.84752655029297, 62.84324645996094, 106.41539764404297))","('face', 0.584027886390686, (1173.4676513671875, 491.42144775390625, 66.7005844116211, 137.57733154296875))","('key', 0.5794512629508972, (892.3919067382812, 142.27346801757812, 123.72639465332031, 69.04324340820312))","('ball', 0.41198214888572693, (316.66351318359375, 597.4764404296875, 95.24142456054688, 88.97039031982422))"
"('map', 0.9736113548278809, (1205.5830078125, 245.30776977539062, 151.98977661132812, 219.1644744873047))","('face', 0.905575692653656, (550.2103881835938, 326.2662658691406, 86.23271942138672, 128.07974243164062))","('dice', 0.77253657579422, (602.3984375, 103.25785827636719, 63.027626037597656, 105.58727264404297))","('key', 0.5927876830101013, (891.8692016601562, 142.05426025390625, 123.53020477294922, 68.03924560546875))","('face', 0.5764168500900269, (1173.520263671875, 491.6346740722656, 67.9829330444336, 137.1748809814453))","('ball', 0.410089373588562, (315.8987121582031, 597.3490600585938, 94.89327239990234, 88.00634002685547))"
