"('face', 0.9712985157966614, (637.1962890625, 295.6634216308594, 88.64482116699219, 107.30240631103516))","('dice', 0.8924703001976013, (609.79345703125, 102.46952819824219, 66.08464813232422, 108.71312713623047))","('key', 0.5803990960121155, (902.559326171875, 142.0340576171875, 105.11310577392578, 48.68998336791992))","('ball', 0.5534499287605286, (841.09130859375, 625.843505859375, 92.548095703125, 99.8521499633789))","('map', 0.4337128698825836, (1209.2747802734375, 237.01507568359375, 104.8387222290039, 207.03289794921875))"
"('face', 0.9775174856185913, (636.8121337890625, 295.9537353515625, 88.50425720214844, 108.80606079101562))","('dice', 0.8940573930740356, (609.17333984375, 102.80049133300781, 66.73316192626953, 110.26348114013672))","('map', 0.6460371613502502, (1206.3890380859375, 237.31593322753906, 107.7219467163086, 208.75856018066406))","('key', 0.5776991248130798, (902.240478515625, 142.07374572753906, 104.39701080322266, 48.767311096191406))","('ball', 0.5398967862129211, (841.2891235351562, 625.9375, 94.08587646484375, 99.29302978515625))"
"('face', 0.9788385629653931, (636.0592041015625, 295.3048400878906, 87.20661163330078, 104.95758819580078))","('dice', 0.896841287612915, (609.3339233398438, 102.9438247680664, 67.38804626464844, 108.87249755859375))","('map', 0.7413857579231262, (1206.1422119140625, 236.6448211669922, 106.48319244384766, 210.49864196777344))","('key', 0.5914865732192993, (901.3239135742188, 142.4513702392578, 106.87271118164062, 48.62168502807617))","('ball', 0.5126359462738037, (840.9518432617188, 626.7778930664062, 92.79696655273438, 99.64515686035156))"
"('face', 0.9800884127616882, (636.1572265625, 295.87799072265625, 88.69894409179688, 107.57782745361328))","('dice', 0.8999207615852356, (608.6475219726562, 103.3271484375, 65.82701110839844, 110.55998992919922))","('map', 0.7110053300857544, (1207.7060546875, 236.5642852783203, 109.07159423828125, 198.7130889892578))","('key', 0.6093446016311646, (901.3034057617188, 142.7080535888672, 109.0338134765625, 48.55051040649414))","('ball', 0.570753812789917, (840.9808959960938, 627.4519653320312, 93.9710922241211, 100.83820343017578))"
"('face', 0.9788184762001038, (636.546142578125, 295.35906982421875, 89.11133575439453, 104.01375579833984))","('dice', 0.881772518157959, (608.5753173828125, 103.17740631103516, 66.4729995727539, 109.79338073730469))","('map', 0.7537089586257935, (1209.67578125, 236.2735595703125, 110.45669555664062, 197.93838500976562))","('key', 0.6414931416511536, (901.534912109375, 143.0263214111328, 105.08744049072266, 47.627445220947266))","('ball', 0.5669211745262146, (840.9954223632812, 627.0059204101562, 94.66188049316406, 100.23684692382812))"
"('face', 0.977523922920227, (637.0154418945312, 295.2353515625, 88.97003936767578, 105.75496673583984))","('dice', 0.8750148415565491, (609.0216064453125, 103.38016510009766, 66.31090545654297, 109.67283630371094))","('map', 0.7816563248634338, (1209.522705078125, 237.24298095703125, 111.98746490478516, 205.52207946777344))","('key', 0.6086298227310181, (901.4678344726562, 142.44802856445312, 107.7635269165039, 49.34819412231445))","('ball', 0.5764883160591125, (841.1664428710938, 626.8436889648438, 92.34496307373047, 100.00463104248047))"
"('face', 0.9726080894470215, (637.3374633789062, 295.2292785644531, 89.41643524169922, 104.77197265625))","('map', 0.9156893491744995, (1211.203125, 237.9280548095703, 135.05056762695312, 224.25228881835938))","('dice', 0.8881391882896423, (608.7866821289062, 103.53779602050781, 68.0161361694336, 110.69503784179688))","('key', 0.5900286436080933, (901.4420166015625, 142.45469665527344, 105.67919921875, 48.25802993774414))","('ball', 0.572669506072998, (841.2274780273438, 627.0028076171875, 94.12033081054688, 99.6208267211914))"
"('face', 0.9700192809104919, (637.312744140625, 295.96826171875, 88.85064697265625, 107.9856948852539))","('map', 0.9030179977416992, (1212.400634765625, 239.96026611328125, 132.76217651367188, 223.65084838867188))","('dice', 0.8986079096794128, (609.605712890625, 103.31651306152344, 67.8834228515625, 110.42511749267578))","('ball', 0.657490074634552, (840.9087524414062, 627.9474487304688, 94.81222534179688, 99.74251556396484))","('key', 0.6178496479988098, (901.5296630859375, 142.34909057617188, 105.85995483398438, 48.68998336791992))"
"('face', 0.9707238078117371, (637.3619384765625, 297.0504150390625, 87.76192474365234, 106.61042785644531))","('dice', 0.9329500198364258, (609.8419799804688, 104.3072280883789, 66.5379409790039, 110.81671905517578))","('map', 0.9074303507804871, (1212.421142578125, 241.0438995361328, 133.4771728515625, 224.0880889892578))","('ball', 0.6644924283027649, (841.0394897460938, 628.6205444335938, 97.00141143798828, 98.40914154052734))","('key', 0.6117830276489258, (902.240478515625, 142.9303436279297, 108.29100799560547, 48.94324493408203))"
"('face', 0.9720420837402344, (637.4859008789062, 297.2896423339844, 86.76065063476562, 104.8167495727539))","('dice', 0.9377703070640564, (609.4243774414062, 105.4710922241211, 64.71159362792969, 109.51229858398438))","('map', 0.9278375506401062, (1213.68701171875, 241.50912475585938, 130.70388793945312, 231.99301147460938))","('key', 0.7231156229972839, (901.50390625, 144.5050048828125, 108.9539794921875, 48.889503479003906))","('ball', 0.6983850598335266, (841.158935546875, 629.1524047851562, 94.92802429199219, 98.40313720703125))"
