world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y
1134.5650994999999,1029.0,1.0,0.5471432114427831,0.6663215090389613
1134.5691345,1030.0,1.0,0.547163728171899,0.6660415221096654
1134.5731695,1030.0,1.0,0.5472863351354086,0.6658483358365749
1134.5772045,1030.0,1.0,0.5472630754937853,0.6658156206996815
1134.5812395,1030.0,1.0,0.547391563635844,0.6658144277053507
1134.5852745,1030.0,0.998229149016742,0.5482705045171196,0.665526812689637
1134.5893095,1030.0,0.998229149016742,0.5487725227574031,0.6653532218084507
1134.5933445,1030.0,1.0,0.5492159122507501,0.6653178585908676
1134.5973795,1030.0,1.0,0.5498312323558839,0.6652096832418677
1134.601414,1031.0,1.0,0.550849921481444,0.6652718602308705
1134.605449,1031.0,1.0,0.5511087541408566,0.6653659390996055
1134.609484,1031.0,1.0,0.5505399933256998,0.6656213706953583
1134.613519,1031.0,1.0,0.5504543526682741,0.6655051401085063
1134.617554,1031.0,1.0,0.5507840184490767,0.6647330473763295
1134.6215885,1031.0,1.0,0.5510065553805236,0.664677402626113
1134.6256234999998,1031.0,0.987030768089059,0.5514816525418993,0.6653334394612568
1134.6296585,1031.0,0.987030768089059,0.5517263548960555,0.6654643301134785
1134.6336935000002,1032.0,1.0,0.5515206767331501,0.6656977557183782
1134.6377285,1032.0,1.0,0.5516878239269793,0.6657075351656639
1134.6417635,1032.0,1.0,0.5515936647699615,0.6659034735215297
1134.6457985,1032.0,1.0,0.5515916750092145,0.6656755794911297
1134.6498335,1032.0,1.0,0.5516183519716461,0.6644286992702805
1134.6538685,1032.0,1.0,0.5517110607132888,0.6639813531458886
1134.6579035,1032.0,1.0,0.5510515191051555,0.6641353405154272
1134.6619385,1032.0,1.0,0.5512240360202069,0.6638161951228246
1134.665973,1032.0,1.0,0.5503733796377719,0.6635207474891341
1134.670008,1033.0,1.0,0.5503805082490085,0.6629820955767881
1134.674043,1033.0,1.0,0.5488025508431518,0.6624730830876101
1134.6780775,1033.0,1.0,0.5491374593284785,0.662239081874116
1134.6821125,1033.0,1.0,0.5493015479990588,0.6627246921705289
1134.6861475,1033.0,1.0,0.550661378895959,0.6627424523254811
1134.6901825,1033.0,1.0,0.5511673382543588,0.6634532716922068
1134.6942175000001,1033.0,0.958512691600949,0.5519291005289048,0.6640571456412969
1134.6982525,1033.0,0.958512691600949,0.5518844673285276,0.666375678151147
1134.7022875,1034.0,0.8418069846515,0.5519289536625323,0.6665691569943525
1134.7063225,1034.0,0.8418069846515,0.5491791266099223,0.6659574438094051
1134.707011,1034.0,1.0,0.5339055448175805,0.6730811006101708
1134.713704,1034.0,0.549188714388754,0.5347708809660505,0.6734415778471956
1134.715081,1034.0,0.732700205619091,0.5356362171145206,0.6738020550842204
1134.721774,1034.0,0.0,0.5470394872420681,0.6690274815541861
1134.72315,1034.0,0.721140392392651,0.5584427573696156,0.6642529080241518
1134.729844,1034.0,0.0,0.6039389476022851,0.6472354158225612
1134.7379130000002,1035.0,0.0,0.6494351378349545,0.6302179236209706
1134.745983,1035.0,0.0,0.694931328067624,0.6132004314193801
1134.7540529999999,1035.0,0.0,0.6752604930070651,0.6207553965081469
1134.762123,1035.0,0.0,0.6555896579465064,0.6283103615969137
1134.770193,1036.0,0.0,0.6359188228859475,0.6358653266856805
1134.7708810000001,1036.0,0.850761282515014,0.6162479878253887,0.6434202917744474
1134.774916,1036.0,0.908007291986598,0.6123672922109153,0.6435190449719015
1134.7782630000002,1036.0,0.0,0.6130055050024694,0.6453635004974447
1134.778951,1036.0,0.956055377735393,0.6136437177940234,0.6472079560229879
1134.782986,1036.0,0.919812417414786,0.617170908322547,0.6491271186272908
1134.786333,1036.0,0.0,0.6215305441325529,0.646979367568769
