world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3279.438602,2,1,0.463142701,0.846319004,3279.435535-0 3279.441668-1,,,,,,,,,,,,,,,
3279.442637,2,1,0.461428269,0.844987646,3279.443605-0 3279.441668-1,,,,,,,,,,,,,,,
3279.446672,2,1,0.462096875,0.845385018,3279.443605-0 3279.449738-1,,,,,,,,,,,,,,,
3279.450707,2,1,0.463017949,0.84623071,3279.451675-0 3279.449738-1,,,,,,,,,,,,,,,
3279.454741,2,0.988776201,0.463115452,0.846143576,3279.451675-0 3279.457808-1,,,,,,,,,,,,,,,
3279.458777,2,0.988776201,0.463416377,0.847580989,3279.459745-0 3279.457808-1,,,,,,,,,,,,,,,
3279.462812,2,1,0.463266889,0.847456912,3279.459745-0 3279.465878-1,,,,,,,,,,,,,,,
3279.466847,2,1,0.464211255,0.847720869,3279.467815-0 3279.465878-1,,,,,,,,,,,,,,,
3279.470882,3,1,0.463815842,0.847651838,3279.467815-0 3279.473948-1,,,,,,,,,,,,,,,
3279.474917,3,1,0.460961607,0.84647698,3279.475885-0 3279.473948-1,,,,,,,,,,,,,,,
3279.478952,3,1,0.461294972,0.846434114,3279.475885-0 3279.482018-1,,,,,,,,,,,,,,,
3279.482987,3,1,0.461561359,0.845393794,3279.483956-0 3279.482018-1,,,,,,,,,,,,,,,
3279.487023,3,1,0.461846267,0.845599057,3279.483956-0 3279.490089-1,,,,,,,,,,,,,,,
3279.491058,3,1,0.463244484,0.846586374,3279.492026-0 3279.490089-1,,,,,,,,,,,,,,,
3279.495093,3,0.976462032,0.463831434,0.845987747,3279.492026-0 3279.498159-1,,,,,,,,,,,,,,,
